Player,Batting_Impact,Bowling_Impact,Talent_Score
R Dhawan,1127.3063829787234,250.0,776.383829787234
Mohammed Shami,356.4307692307692,1370.0,761.8584615384615
DW Steyn,603.6147239263803,970.0,750.1688343558282
AB Agarkar,1054.85,290.0,748.91
Z Khan,560.2581560283688,1020.0,744.1548936170213
K Gowtham,1099.3798742138365,210.0,743.6279245283018
RD Chahar,733.7984251968504,750.0,740.2790551181103
CR Brathwaite,1133.0666666666666,130.0,731.8399999999999
BCJ Cutting,1152.7698630136988,100.0,731.6619178082193
D Wiese,1102.5904761904762,160.0,725.5542857142857
Mohammad Nabi,1106.0815286624204,150.0,723.6489171974522
Aman Hakim Khan,1199.045871559633,0.0,719.4275229357798
Sandeep Sharma,188.0759493670886,1510.0,716.8455696202532
M Jansen,929.4486486486486,390.0,713.6691891891892
RE van der Merwe,1046.3111111111111,210.0,711.7866666666666
Mohammed Siraj,422.71181102362203,1120.0,701.6270866141732
MA Starc,716.8,650.0,690.0799999999999
MF Maharoof,943.8,270.0,674.28
DL Vettori,923.0203389830508,280.0,665.8122033898304
TG Southee,791.8222222222222,470.0,663.0933333333332
Sachin Baby,1102.8422764227641,0.0,661.7053658536585
Bipul Sharma,977.0129032258064,170.0,654.2077419354838
DH Yagnik,1086.2422535211267,0.0,651.745352112676
Harshit Rana,795.3719298245613,400.0,637.2231578947368
P Dogra,1059.5418439716314,0.0,635.7251063829788
A Nehra,340.83809523809526,1060.0,628.5028571428571
M Morkel,495.48172043010754,770.0,605.2890322580645
MG Johnson,592.5333333333333,620.0,603.52
SS Prabhudessai,969.2460176991151,0.0,581.5476106194691
DS Kulkarni,388.27079646017694,860.0,576.9624778761062
KK Cooper,733.3142857142857,330.0,571.9885714285714
JDP Oram,878.8363636363636,90.0,563.3018181818181
Avesh Khan,317.4260869565218,930.0,562.455652173913
M Kartik,720.394495412844,310.0,556.2366972477064
MJ McClenaghan,439.66301369863015,710.0,547.797808219178
MS Gony,632.9894736842105,370.0,527.7936842105262
Arshdeep Singh,190.63333333333335,1020.0,522.38
RJ Harris,565.6714285714286,450.0,519.4028571428571
MJ Santner,685.4,270.0,519.24
I Sharma,216.3887323943662,960.0,513.8332394366197
Iqbal Abdulla,587.9441860465116,400.0,512.766511627907
Ankit Sharma,771.5304347826086,120.0,510.91826086956513
AJ Tye,559.8025316455696,420.0,503.88151898734174
CV Varun,137.04705882352943,1000.0,482.22823529411767
SB Dubey,792.7080459770116,0.0,475.62482758620695
Ravi Bishnoi,238.3014492753623,810.0,466.9808695652174
MM Patel,277.3073170731708,740.0,462.38439024390243
RP Singh,160.24615384615385,900.0,456.1476923076923
A Nortje,305.3384615384615,610.0,427.2030769230769
L Balaji,198.8,760.0,423.28
JDS Neesham,651.0279569892473,80.0,422.61677419354834
NM Coulter-Nile,376.26666666666665,480.0,417.76
CR Woakes,489.212987012987,300.0,413.5277922077922
AD Nath,688.7717171717172,0.0,413.26303030303035
PWH de Silva,358.38947368421054,460.0,399.0336842105263
B Lee,492.1098039215686,250.0,395.26588235294116
AD Mascarenhas,531.0379746835443,190.0,394.6227848101266
PP Ojha,50.62222222222222,890.0,386.37333333333333
CJ Jordan,437.53086419753083,300.0,382.5185185185185
Shivam Mavi,435.90344827586205,300.0,381.5420689655172
S Aravind,318.2135593220339,450.0,370.9281355932203
KK Ahmed,0.0,910.0,364.0
WPUJC Vaas,479.84109589041094,180.0,359.90465753424655
SK Trivedi,164.5016393442623,650.0,358.7009836065574
R Sharma,314.574025974026,400.0,348.7444155844156
GD Phillips,573.0325581395349,0.0,343.8195348837209
AB Dinda,110.6,690.0,342.36
M Prasidh Krishna,0.0,850.0,340.0
Imran Tahir,0.0,820.0,328.0
WD Parnell,301.42790697674417,350.0,320.8567441860465
VR Aaron,214.66575342465754,440.0,304.79945205479453
M Markande,253.5272727272727,370.0,300.11636363636364
T Natarajan,0.0,730.0,292.0
S Nadeem,160.2909090909091,480.0,288.17454545454547
Noor Ahmad,124.63396226415094,520.0,282.78037735849057
M Ashwin,222.6,350.0,273.56
A Kumble,137.38367346938776,450.0,262.43020408163267
B Akhil,397.03508771929825,60.0,262.2210526315789
Mustafizur Rahman,0.0,650.0,260.0
PVD Chameera,343.8782608695652,130.0,258.32695652173913
M Muralitharan,0.0,640.0,256.0
S Sreesanth,157.51228070175438,400.0,254.5073684210526
JR Hazlewood,0.0,600.0,240.0
M Rawat,398.2857142857143,0.0,238.97142857142856
S Kaul,0.0,580.0,232.0
DR Sams,289.5333333333333,140.0,229.71999999999997
LH Ferguson,0.0,540.0,216.0
TU Deshpande,0.0,540.0,216.0
PJ Sangwan,89.96595744680852,380.0,205.9795744680851
VG Arora,37.46666666666666,420.0,190.48
SB Jakati,0.0,470.0,188.0
M Pathirana,0.0,470.0,188.0
Mukesh Kumar,0.0,410.0,164.0
Yash Dayal,0.0,410.0,164.0
P Awana,0.0,390.0,156.0
DE Bollinger,0.0,370.0,148.0
M Theekshana,0.0,360.0,144.0
L Ngidi,0.0,340.0,136.0
R Sai Kishore,0.0,320.0,128.0
A Zampa,0.0,310.0,124.0
Umran Malik,0.0,290.0,116.0
A Singh,0.0,280.0,112.0
PV Tambe,0.0,280.0,112.0
Mohsin Khan,0.0,280.0,112.0
DP Nannes,0.0,280.0,112.0
Harmeet Singh,0.0,270.0,108.0
Naveen-ul-Haq,0.0,250.0,100.0
Yash Thakur,0.0,250.0,100.0
Navdeep Saini,0.0,240.0,96.0
AS Rajpoot,0.0,240.0,96.0
Akash Madhwal,0.0,240.0,96.0
GB Hogg,0.0,230.0,92.0
SW Tait,0.0,230.0,92.0
Basil Thampi,0.0,220.0,88.0
BW Hilfenhaus,0.0,220.0,88.0
Sohail Tanvir,0.0,220.0,88.0
Suyash Sharma,0.0,220.0,88.0
Vijaykumar Vyshak,0.0,220.0,88.0
AS Joseph,0.0,210.0,84.0
VY Mahesh,0.0,210.0,84.0
C Sakariya,0.0,200.0,80.0
Mujeeb Ur Rahman,0.0,200.0,80.0
Kartik Tyagi,0.0,200.0,80.0
A Kamboj,0.0,200.0,80.0
J Suchith,0.0,190.0,76.0
